	labels	x	y
spot_0	clone_2	0	0
spot_1	clone_2	0	2
spot_2	clone_2	0	4
spot_3	clone_2	0	6
spot_4	clone_2	0	8
spot_5	clone_2	0	10
spot_6	clone_2	0	12
spot_7	clone_2	0	14
spot_8	clone_2	0	16
spot_9	clone_2	0	18
spot_10	clone_2	0	20
spot_11	clone_2	0	22
spot_12	clone_2	0	24
spot_13	clone_2	0	26
spot_14	clone_2	0	28
spot_15	clone_2	0	30
spot_16	clone_2	0	32
spot_17	clone_2	0	34
spot_18	clone_2	0	36
spot_19	clone_2	0	38
spot_20	clone_2	0	40
spot_21	clone_2	0	42
spot_22	clone_2	0	44
spot_23	clone_2	0	46
spot_24	clone_2	0	48
spot_25	normal	0	50
spot_26	normal	0	52
spot_27	normal	0	54
spot_28	normal	0	56
spot_29	normal	0	58
spot_30	clone_2	1	1
spot_31	clone_2	1	3
spot_32	clone_2	1	5
spot_33	clone_2	1	7
spot_34	clone_2	1	9
spot_35	clone_2	1	11
spot_36	clone_2	1	13
spot_37	clone_2	1	15
spot_38	clone_2	1	17
spot_39	clone_2	1	19
spot_40	clone_2	1	21
spot_41	clone_2	1	23
spot_42	clone_2	1	25
spot_43	clone_2	1	27
spot_44	clone_2	1	29
spot_45	clone_2	1	31
spot_46	clone_2	1	33
spot_47	clone_2	1	35
spot_48	clone_2	1	37
spot_49	clone_2	1	39
spot_50	clone_2	1	41
spot_51	clone_2	1	43
spot_52	clone_2	1	45
spot_53	clone_2	1	47
spot_54	normal	1	49
spot_55	normal	1	51
spot_56	normal	1	53
spot_57	normal	1	55
spot_58	normal	1	57
spot_59	normal	1	59
spot_60	clone_2	2	0
spot_61	clone_2	2	2
spot_62	clone_2	2	4
spot_63	clone_2	2	6
spot_64	clone_2	2	8
spot_65	clone_2	2	10
spot_66	clone_2	2	12
spot_67	clone_2	2	14
spot_68	clone_2	2	16
spot_69	clone_2	2	18
spot_70	clone_2	2	20
spot_71	clone_2	2	22
spot_72	clone_2	2	24
spot_73	clone_2	2	26
spot_74	clone_2	2	28
spot_75	clone_2	2	30
spot_76	clone_2	2	32
spot_77	clone_2	2	34
spot_78	clone_2	2	36
spot_79	clone_2	2	38
spot_80	clone_2	2	40
spot_81	clone_2	2	42
spot_82	clone_2	2	44
spot_83	clone_2	2	46
spot_84	clone_2	2	48
spot_85	normal	2	50
spot_86	normal	2	52
spot_87	normal	2	54
spot_88	normal	2	56
spot_89	normal	2	58
spot_90	clone_2	3	1
spot_91	clone_2	3	3
spot_92	clone_2	3	5
spot_93	clone_2	3	7
spot_94	clone_2	3	9
spot_95	clone_2	3	11
spot_96	clone_2	3	13
spot_97	clone_2	3	15
spot_98	clone_2	3	17
spot_99	clone_2	3	19
spot_100	clone_2	3	21
spot_101	clone_2	3	23
