chr	start	end	clone_0_A_copy	clone_0_B_copy	clone_1_A_copy	clone_1_B_copy	clone_2_A_copy	clone_2_B_copy	normal_A_copy	normal_B_copy
1	0	172929859	1	1	1	1	1	1	1	1
1	172929859	222929859	3	1	1	1	1	1	1	1
1	222929859	248956422	1	1	1	1	1	1	1	1
2	0	242193529	1	1	1	1	1	1	1	1
3	0	198295559	1	1	1	1	1	1	1	1
4	0	190214555	1	1	1	1	1	1	1	1
5	0	181538259	1	1	1	1	1	1	1	1
6	0	170805979	1	1	1	1	1	1	1	1
7	0	159345973	1	1	1	1	1	1	1	1
8	0	89739541	1	1	1	1	1	1	1	1
8	89739541	139739541	1	1	1	0	1	1	1	1
8	139739541	145138636	1	1	1	1	1	1	1	1
9	0	138394717	1	1	1	1	1	1	1	1
10	0	133797422	1	1	1	1	1	1	1	1
11	0	135086622	1	1	1	1	1	1	1	1
12	0	15039847	1	1	1	1	1	1	1	1
12	15039847	65039847	2	2	1	1	1	1	1	1
12	65039847	133275309	1	1	1	1	1	1	1	1
13	0	2832983	1	1	1	1	1	1	1	1
13	2832983	52832983	1	1	1	2	1	1	1	1
13	52832983	114364328	1	1	1	1	1	1	1	1
14	0	107043718	1	1	1	1	1	1	1	1
15	0	48220334	1	1	1	1	1	1	1	1
15	48220334	98220334	1	1	1	1	2	1	1	1
15	98220334	101991189	1	1	1	1	1	1	1	1
16	0	90338345	1	1	1	1	1	1	1	1
17	0	83257441	1	1	1	1	1	1	1	1
18	0	80373285	1	1	1	1	1	1	1	1
19	0	58617616	1	1	1	1	1	1	1	1
20	0	2701626	1	1	1	1	1	1	1	1
20	2701626	12888623	1	1	1	1	0	1	1	1
20	12888623	52701626	0	2	0	2	0	1	1	1
20	52701626	62888623	0	2	0	2	0	2	1	1
20	62888623	64444167	1	1	1	1	1	1	1	1
21	0	46709983	1	1	1	1	1	1	1	1
22	0	50818468	1	1	1	1	1	1	1	1
